,player_name,MaySpin,AugustSpin,%Difference
117,"Freeland, Kyle",2190.0443037974683,2261.8613636363634,3.2800000000000002
118,"Fried, Max",2329.5655976676385,2239.9978813559323,-3.84
119,"Fry, Paul",2583.5733333333333,2527.6700507614214,-2.16
120,"Fulmer, Michael",2218.330612244898,2271.334661354582,2.39
121,"Funkhouser, Kyle",2101.0158730158732,2201.6102362204724,4.79
122,"Gallegos, Giovanny",2370.8979591836733,2402.3128205128205,1.3299999999999998
123,"Gallen, Zac",2307.4761904761904,2208.926298157454,-4.2700000000000005
124,"Gant, John",2272.6071428571427,2340.9488636363635,3.01
125,"Garcia, Luis",2287.631914893617,2316.5330661322646,1.26
126,"García, Jarlín",2263.41875,2210.709523809524,-2.33
127,"García, Yimi",2492.916129032258,2519.5367647058824,1.0699999999999998
128,"Garrett, Amir",2100.1339285714284,2025.7809523809524,-3.54
129,"Garrett, Braxton",2338.705882352941,2061.1338912133892,-11.87
130,"Garza Jr., Ralph",2277.157894736842,2219.776978417266,-2.52
131,"Gausman, Kevin",2028.929090909091,1895.2921348314608,-6.59
132,"Gibson, Kyle",2182.582926829268,2180.6716171617163,-0.09
133,"Gilbert, Logan",2182.686468646865,2191.6447368421054,0.41000000000000003
134,"Gilbreath, Lucas",2502.2585034013605,2365.349315068493,-5.47
135,"Giolito, Lucas",2005.28762541806,2000.4314079422384,-0.24
136,"Givens, Mychal",2479.9041916167666,2421.0124223602484,-2.37
137,"Gomber, Austin",2104.542239685658,2148.07822410148,2.07
138,"González, Chi Chi",2362.45,2265.9636363636364,-4.08
139,"González, Victor",2474.2088607594937,2232.8958333333335,-9.75
140,"Goudeau, Ashton",2029.9782608695652,1998.297520661157,-1.5599999999999998
141,"Graveman, Kendall",2331.6315789473683,2256.1988304093566,-3.2399999999999998
142,"Gray, Jon",2178.204954954955,2281.5574162679427,4.74
143,"Gray, Sonny",2600.423162583519,2413.700913242009,-7.180000000000001
144,"Green, Chad",2542.105882352941,2528.1906779661017,-0.5499999999999999
145,"Greinke, Zack",2147.327338129496,2167.895104895105,0.96
146,"Guerra, Deolis",2154.6550218340612,1986.300518134715,-7.8100000000000005
147,"Guerra, Junior",2293.3121387283236,1942.2764705882353,-15.310000000000002
148,"Gutierrez, Vladimir",2138.8805970149256,2204.201160541586,3.05
149,"Hader, Josh",2114.925,2171.404109589041,2.67
150,"Hand, Brad",2409.393063583815,2231.2824427480914,-7.39
151,"Happ, J.A.",2302.507462686567,2101.626696832579,-8.72
152,"Hartlieb, Geoff",2456.061224489796,2436.684210526316,-0.79
153,"Harvey, Matt",2157.6747967479673,2235.751807228916,3.62
154,"Head, Louis",2599.48,2410.109090909091,-7.28
155,"Heaney, Andrew",2475.765306122449,2345.3815461346635,-5.27
